,Best months for climbing:,Continent:,Convenient Center:,Country:,Difficulty:,Elevation (feet):,Elevation (meters):,First successful climber(s):,Latitude:,Longitude:,Most recent eruption:,Nearest major airport:,Province:,Range/Region:,State:,Volcanic status:,Year first climbed:
California Peak,"Jun, Jul, Aug, Sep",North America,Fort Garland,United States,Walk up,13849.0,4221.1752,,37.6167,-105.5,,Alamosa,,Sangre de Cristo Range,Colorado,,
Granite Peak,"Jul, Aug, Sep",North America,"Red Lodge, Montana",United States,Scramble,12799.0,3901.1352,Elers Koch,45.1667,-109.8,,"Billings, Montana",,Absaroka Range,Montana,,1923.0
Grossglockner,"Jul, Aug, Sep",Europe,"Heiligenblut, Austria",Austria,Basic Snow/Ice Climb,12461.0,3798.1128,"Count von Salm, Prince Bishop of Gurk, and his party of sixty",47.0667,12.7,,"Innsbruck or Salzburg, Austria",,Hohe Tauern,,,1800.0
Grossvenediger,"Jul, Aug, Sep",Europe,Mitterstil,Austria,Basic Snow/Ice Climb,12054.0,3674.0592,Forester Rohregger and party,47.1,12.35,,"Innsbruck or Salzburg, Austria",,Hohe Tauern,,,1841.0
Gyachung Kang,"Apr, May",Asia,"Kathmandu, Nepal",Nepal,Major Mountain Expedition,26089.0,7951.9272,"Y. Kato, K. Sakaizawa, Pasang Phutar, (Japanese expedition)",28.1,86.75,,"Kathmandu, Nepal",,Central Nepal Himalaya,,,1964.0
Half Dome,"Jun, Jul, Aug",North America,"Yosemite National Park, California",United States,Scramble,8842.0,2695.0416,George Anderson,37.7461,-119.53200000000001,,"Oakland, California, Reno, Nevada",,Sierra Nevada,California,,1875.0
Mount Harvard,"Jun, Jul, Aug, Sep",North America,"Leadville, Colorado",United States,Walk up,14420.0,4395.215999999999,W.M. Davis and S. Sharpless,38.9244,-106.32,,"Denver, Colorado",,Sawatch Range,Colorado,,1869.0
Mount Hayes,"Apr, May, Jun",North America,"Delta, Alaska",United States,Basic Snow/Ice Climb,13832.0,4215.9936,Bradford Washburn and party,63.62,-146.716,,"Fairbanks, Alaska",,Alaska Range,Alaska,,1941.0
Hekla,"Jul, Aug, Sep",Europe,"Vik, Iceland",Iceland,Walk up,4892.0,1491.0816,,64.0167,-19.65,,"Reykjavik, Iceland",,Iceland,,Active,
Mount of the Holy Cross,"Jun, Jul, Aug, Sep",North America,"Leadville, Colorado",United States,Walk up,14005.0,4268.724,"F.V. Hayden, W.H. Jackson",39.4681,-106.479,,"Denver, Colorado",,Sawatch Range,Colorado,,1873.0
Mount Hood,"May, Jun, Jul",North America,"Timberline Lodge, Oregon",United States,Basic Snow/Ice Climb,11237.0,3425.0376,"H.L. Pittock, L. Chittenden, W. Cornell, Reverend T.A. Wood",45.373403,-121.69564199999999,,"Portland, Oregon",,Cascade Range,Oregon,,1857.0
Huandoy,"May, Jun, Jul, Aug, Sep",South America,"Huar?z, Peru",Peru,Technical Climb,20981.0,6395.0088,"E. Hein, E. Schneider",-9.027636,-77.663341,,"Lima, Peru",,Peruvian Andes,,,1932.0
Huantsan,"May, Jun, Jul, Aug, Sep",South America,"Huar?z, Peru",Peru,Basic Snow/Ice Climb,20981.0,6395.0088,"T. de Booy, K. Eggeler, L. Terray",-9.53333,-77.3,,"Lima, Peru",,Peruvian Andes,,,1952.0
